,Ratings,Comments
0,Rated 4 stars out of five stars,"Stopped showing product images! Was great until recently, especially bc website is so slow. But now no product images or thumbnails so impossible to SHOP! Read the response to a review below from 3/19, followed all instructions, did not fix. Even cleared the cache restarted the tablet then started t...
Full Review"
1,Rated 5 stars out of five stars,"Absolutely love this app!!!. I keep an active list and get notifications on price drops. I love store mode when I'm in store. No need to look for a price scanner. My store just went live on Scan and Go functionality. I can keep track of my recent store and online purchases. I know how much star mone...
Full Review"
2,Rated 5 stars out of five stars,"Easy to use. Very convenient. I love it. I use it to browse things I want then go in store to buy it. Also buy online pick up in store is awesome. If something doesn't fit you can return it right there. I would suggest becoming a card holder if you're not one yet as the perks are great and you can s...
Full Review"
3,Rated 4 stars out of five stars,Macy's is my favorite place to shop they have just what i am looking for. If i order online they ship my package very quickly so i dont have to wait weeks to get it. i also love all the different designers Macy's sells . Its very easy to find whatever you need at Macy's.
4,Rated 5 stars out of five stars,Macy is one of my favorite stores and this app keeps me up to date with all the sales and special offers. It is a really great shopping app. I love that it let's me know where I can go to pick up an item I may buy on line. It's my little shopping helper!
5,Rated 3 stars out of five stars,"I have mostly been pleased with the service. The people seem pleasant and they try to please. I did have an issue over some prices that was never fully resolved, but I finally gave up. However I was very disappointed that they did not try harder to resolve my issue. Actually, that was six months ago...
Full Review"
6,Rated 5 stars out of five stars,"I have always shopped with my mother in Bambergers,& now Macys and I just turned 64 years is one is good, however I am a ""hands on shopper "". I like to see the merchandise in person, feel the material & wt. in person & make sure the color is corr1ect!"
7,Rated 5 stars out of five stars,I enjoy shopping with my Mother Alicia Rangel it's her favorite place besides Japanese gardens. the joy on her face when all the different employees in different departments acnologe her puts a smile on my face and makes me realize your costumer service is fenomanal... Sincerely Maribel G.
8,Rated 5 stars out of five stars,"best store you find what you want. but the one in the city, queen, but the one in downtown bklyn they never have no one to help you the workers in there ignored you when you ask for help"
9,Rated 3 stars out of five stars,"It's convenient, but a bit buggy on my Moto Z3. My purchase history on the appis not correct at all. Checking out for the first time was cumbersome. The extra 25 percent off was very nice, though."
10,Rated 3 stars out of five stars,"In the description of items such as handbags I can't see full details such as size etc. Its annoying and sometimes I just don't order, because can't read full product details."
11,Rated 5 stars out of five stars,my stuff comes fast almost next day. I look great in my new stuff. neatly and professionally packed. I love the sales.
12,Rated 5 stars out of five stars,Macy's is the first place I go when I need something. I'm plus size so online shopping is my go to. I love Macy's app.
13,Rated 3 stars out of five stars,"Easy to use but i cant place any orders. Keep getting a message that an error has occurred, very frustrating."
14,Rated 5 stars out of five stars,I Love Macy's. I always get great deals and quailty clothes and shoes. Love when they have clearance sales because i come out of there with bags of stuff. Thanks😍💖
15,Rated 5 stars out of five stars,"App is very easy to use for shopping, managing card, and allows the option of in store pick up or delivery."
16,Rated 4 stars out of five stars,"It doesn't work! Too many searches results in an unable to load error, tap to retry. Before, I had an older phone, it wouldn't even let me download this app. Ok, got a new phone, S9+, now I'm getting this message. Really frustrating! I expect more from Macy's."
17,Rated 5 stars out of five stars,I love the Macy's app. I can put items on my list and then be notified when the items are on sale and even Last Chance clearance!
18,Rated 5 stars out of five stars,great experience. Macy's makes me happy online. I wish their stores in the Virginia Beach area carried big and tal.
20,Rated 5 stars out of five stars,"Macy's sales are absolutely the best value anywhere. im a frequent shopper and must say, im never disappointed."
21,Rated 5 stars out of five stars,"I haven't shopped yet, but I have browsed and my experience was wonderful! However, I plan to shop at the end of the month! I have already found what I'm looking for! I can hardly wait!!!"
