	Ratings	Comments
19	Rated 2 stars out of five stars	Too many updates. This app alone is taking too much storage space. I for see having to delete the app.
22	Rated 1 stars out of five stars	"App said get 25% off my purchase. I get that my suit was on sale so the 25% wouldn't work on top of the sale but I figured it would be an equal trade since I've given the store the ability to take my money straight from my phone. Well check out time comes and they tried to add a tax to my purchase. ...
Full Review"
23	Rated 1 stars out of five stars	"a total waste of my time (& the associate who tried to help me). i have the app & try to use it to find something in the store & it's wrong. i try to scan a tag to check out & it won't enable itself. i try to use a code it says is for women's apparel (amoung other items) and it won't register - and ...
Full Review"
28	Rated 1 stars out of five stars	"Watch guys! I Dowwnloaded the app and did not get the 25%off for this first purchase online with the app as advertised. That is FALSE ADVERTISEMENT! Called online purchases customer service number and they said if I did not receive the email I cannot have the discount! ...rip off same as in the stor...
Full Review"
29	Rated 1 stars out of five stars	inputed first macys card in and no issues to pay or check balance. once card was upgraded it would not show any balance, or able to mqke payment.
31	Rated 1 stars out of five stars	"I downloaded the app because the website stated I would receive a 25% discount on my first purchase made in app....but once I downloaded the app and filled my bad and was ready to check out the discount wasnt available to me in my wallet! I decided to complete my purchase anyway because I had alread...
Full Review"
32	Rated 1 stars out of five stars	here we go again.. star rewards are constantly pending..called waited 20 mins. they said it would be fixed in a couple of days, that was 7 days ago. So the rewards are basically gone, if that's why you shop especially during double days...beware...no one is helping with this problem.
37	Rated 1 stars out of five stars	If you need to use the app to make payments on your credit card you're going to be disappointed. The last 3 times (months) I tried, the screen just goes blank. I loaded it specifically for this purpose because I can use fingerprint login. Very disappointing.
39	Rated 1 stars out of five stars	I downloaded the app so I could use the 25% off offer, but at checkout, it keeps giving me an error message to add a shipping address even though it's already in my account settings. Plus I was trying to do a pickup in store anyways so I don't know why the app is asking for a shipping address.
40	Rated 1 stars out of five stars	Promised 25% off disappears after signing up so this company is duping the public. I usually never get apps like these for shopping but I took a chance on this for the discount to see if I like it. only issue is that the discount never comes so they just want your info.
43	Rated 1 stars out of five stars	Stopped showing product images. I love the app, I use it a lot, but since February or March started having that problem and now I have to go to the web page. I uninstalled the app around 4 weeks ago and installed again today and the problem remains.
45	Rated 1 stars out of five stars	"The only reason I shop this app is that returns are easy and there are great sales. The app consistently fails to show the full descriptions and info of items; the info that is available for items is typically incomplete; i.e. no info on what type of material (is it stretch? who knows?)..I'm not mad...
Full Review"
48	Rated 1 stars out of five stars	"first of all Macy's is a joke I wonder what idiot comes with 25% off if you have the app and oh wait we get to choose on what merchandise you use the 25% off I mean this is a joke I have never been so disappointed. I'm going to take it off my phone immediately since you guys get to choose on what I ...
Full Review"
50	Rated 1 stars out of five stars	"New Update SUCKS! The latest update to MACY'S app is a Real Loser! When Im in Search Mode, I can see/view merchandise fine. But when I go to Description there's no photo. Especially annoying when there's multiple colors,ect. I CAN see pics of the item (usually) when I use Zoom feature, OR save it to...
Full Review"
52	Rated 1 stars out of five stars	like the other person said IT'S A JOKE I COULDN'T USE MY 25% OFF PROMOIONAL CODE EITHER ON WHAT I WANTED TO USE IT ON I EVEN CALLED CUSTOMER SERVICE TO NO EVAIL NO HELP!!! I UNINSTALLED THIER APP ALSO!! I WILL DO MY BUISINESS ELSWHERE WHERE THE CUSTOMER COMES FIRST!!! UNSATISFIED FORMER CUSTOMER!!!
53	Rated 1 stars out of five stars	since updating there are no product photos, I cant enter promos, descriptions are cut off, cant see past purchases, freezes.... generally sucks! ive uninstalled and reinstalled 4 times to no avail. Tech support was kabob salesman giving advice from a book as his second job! 😏
57	Rated 2 stars out of five stars	very inconsistent. can do price checks but sometimes even the price is not accurate to with the store price is. always having to close the app or it will force close itself. needs a lot of work. able to check my card balance but that's about the best thing about it.
59	Rated 1 stars out of five stars	its better to go to their website to order. This app is not working properly. I forgot my password so I put in my sign in account ( correctly) and click on ' forgot password'. I never get sent any email to reset my password. This is my third and last attempt.
60	Rated 1 stars out of five stars	All smoke & mirrors. They offer you 25% off with your first app order but there are so many excluded items that the only things you'll get 25% off of is some really obscure full priced items. Uninstalling app.
61	Rated 1 stars out of five stars	spam and more spam. This app sends you so much advertising that Im going to delete it after this review. Btw I set it not to send me emails and I got even more. lol
65	Rated 1 stars out of five stars	This app is now useless, I can select filters on the app but there is no was to apply them. The only was to shop for men is to page through EVERY men's product. Really?!
69	Rated 2 stars out of five stars	"I can't remember the last time I was actually able to purchase via app. Missing information? The app didn't flag what info was missing! Phone number in incorrect format? The app auto-formatted the phone number! Address Line 1 missing? This is store pickup... And my details are on file! Also tried to...
Full Review"
72	Rated 1 stars out of five stars	how is it possible that I had to create an account through the Macy's app for the 25% off they're offering but now I can't receive the discount because they said I've used this app before when I haven't. compete b.s.
74	Rated 2 stars out of five stars	"shopping shouldn't be time consuming when you know what you want. This app needs more filters. I want to type in the search box and find specifically what I want. Searching through your entire sales & clearance will have most consumers close the app. We need more coupons and discounts most important...
Full Review"
76	Rated 1 stars out of five stars	Since the newest update, cant see any pictures in the app. I have installed and uninstalled mutiple times, still same result. I have an andriod phone. Very frustrating.
78	Rated 1 stars out of five stars	The app is the worst. when i try to make payments it never allows me to enter amounts. when i try to look at a product in detail the picture never shows up.
84	Rated 1 stars out of five stars	: this is the worst app freezes up all the time right now been trying to download update and it's not doing anything, i have been trying up data this app my for two days now and its still on 35%
90	Rated 1 stars out of five stars	"their customer service has fallen short each year it gets worse and worse... missing item, sometimes they cancel my item. And the replacement doesn't even happen .. i mean hello... your standard is si low that Target and Walmart beats you in every turn and that is why I am no longer going to be a me...
Full Review"
94	Rated 1 stars out of five stars	I updated this app, and now the images for the items won't load. How am I suppose to purchase anything? It also does not help that I can't use your website on my mobile device because it insists that I use your bugged out app.
103	Rated 1 stars out of five stars	"TERRIBLE! This app doesn't deserve any stars. From day one I haven't been able to sign in or create account. I keep getting ""we're experiencing technical difficulties try again later"""
105	Rated 1 stars out of five stars	omg this app was sooo slow, too slow. I couldnt even complete my purchase. Also it didnt even give me my 25% coupon.
110	Rated 1 stars out of five stars	"Macy's advertised that if I downloaded the app I would receive an extra 25 percent off. I never received it. I called Macys, I was told I would receive a coupon with 48 hours. I never received it. I find the app useless, and never would have downloaded the app without the special offer. I feel as if...
Full Review"
112	Rated 1 stars out of five stars	i used to use the app to check prices while shopping in the store i stead of constantly running to the price scanners. Now it just spins or tells me products that I am holding in my hand is not available at the store
115	Rated 2 stars out of five stars	Bracelet arrived damaged, I don't have the time to return it, so just not shopping jewlery from Macy's anymore. This is not the first time either.
119	Rated 2 stars out of five stars	app is always freezing up. the description and the pictures 50% of the time are not there/ visible. I love Macy's but this app makes it so frustrating to shop that I don't shop. I take my business elsewhere. fix your app Macy if you want to stay in business
121	Rated 2 stars out of five stars	I used this app successfully until recently. When selecting a product now the pictures do NOT load. Have uninstalled & reinstalled but still issue.
122	Rated 2 stars out of five stars	Of the 5 pair of shoes I bought, 4 had to be returned because, (They were used) they had the nerve to send to me someone else's return........ Scuff Marks, Wrinkles, one pair even had the wrong colored Polish from which they tried to clean up.
123	Rated 1 stars out of five stars	Macys wants their shopper to use their app. It's not my choice to download it but ......the app is very slow and I get logged out while using it.
124	Rated 1 stars out of five stars	Super shaded that this app gets blocked by my VPN, and then when I turn my VPN off it just errors out with a network error.
126	Rated 1 stars out of five stars	Changing my review to one star. App will no longer load after update. multiple issues trying to pay the credit card in the app eleven if you somehow get it to work. uninstall and reinstall does nothing. I'm using a Samsung galaxy s6
128	Rated 2 stars out of five stars	Was a great app until last update! The app will not open. The latest update does not fix the issue.
129	Rated 1 stars out of five stars	This app does not work very well it always stop in the middle of me trying to shop I can't view what I am trying to buy this app shows me nothing please fix so I can shop thanks
131	Rated 1 stars out of five stars	"Terrible app! loaded up my cart, tried to pay.....wouldn't save CC #. had to keep inputting over and over! Then wouldn't save gift card #! finally closed & reopened and tried to process, CC was declined.....plenty of $, all info correct! OH! and now I get to redo the gift card AGAIN! I will buy my $...
Full Review"
137	Rated 2 stars out of five stars	my app hasn't worked in days nor am I able to access the website . missing the recent sales
140	Rated 1 stars out of five stars	App is really glitchy, doesn't work consistently in store. Also pictutes of products don't load most of the time. Pretty useless app. Macy's also doesn't respond to support emails.
144	Rated 1 stars out of five stars	worst service ever.. can't get my reward money. worst app ever. everything is fake. none coupons are working. if you call them they said system error cant help. Macy's differentiate between member customer and non member customer.
149	Rated 1 stars out of five stars	Horrible. Liars! they say 25 percent off your purchase by creating an account and when you are about to pay you can't use the 25 percent.
151	Rated 1 stars out of five stars	this app is horrible as much as a customer service! credit card balances ate not updated, some transactions are not listed, super confusing and poorly made
156	Rated 2 stars out of five stars	Pictures still don't display for items while browsing and in orders. Everything else is super slow to load. The app was great months ago, making it easy to shop frequently. I haven't been able to use it in a couple of months.
167	Rated 2 stars out of five stars	I made an online purchase before I downloaded the app. There is nowhere in the app (that I've found) to enter an order number to track its progress.
182	Rated 1 stars out of five stars	why the app does not show product images anymore, soo frustrating.... can someone look into this n fix it?
183	Rated 1 stars out of five stars	sick of the forced updates. i only have the app so i can pay my bill easily and its a hassle to have to update almost every month when i open it to do that
184	Rated 1 stars out of five stars	the app barely lets me do anything before glitching and shutting down. very irritating.
186	Rated 1 stars out of five stars	it was working but the past 3 updates made it crash everytime Ive opened the app. please fix this soon. i miss using the app so much.
189	Rated 2 stars out of five stars	The site seems like it has some glitches in it! Seems like there's a bug on the site... please fix..
203	Rated 1 stars out of five stars	Shopping by email is very convenient 👍. It gives you an advantage of making your selections without entering the store.
204	Rated 2 stars out of five stars	I hate this app's credit card section. It never works at once. I am pretty sure Macy's have enough money to spend on IT folks, let them fix it.
210	Rated 2 stars out of five stars	Does not work like online. search is difficult. App keeps freezing!
215	Rated 1 stars out of five stars	Worked great before. Just keeps crashing every time I try logging into my account.
217	Rated 1 stars out of five stars	I downloaded the app because of an offer of an additional 25% off first purchase through the app and I did not receive it!
219	Rated 1 stars out of five stars	i don't know why they changed sharing options for android use to.i can share links on WhatsApp with friends very easily but i can't now on Samsung galaxy..very disappointed..
226	Rated 1 stars out of five stars	terrible! I am unable to make a purchase!!!
243	Rated 1 stars out of five stars	keep crashing especially when you try to open your account has been going on for over a month
248	Rated 1 stars out of five stars	Once you click on and item to see details, pictures don't display. Also can't see pictures once you place an item in the shopping cart.
250	Rated 1 stars out of five stars	This app is bad guys. Being Macy's and have such a poor quality product....I have no comments.
254	Rated 2 stars out of five stars	I don't know if it's the new update or not but pictures do not show when I try to view an item.
257	Rated 2 stars out of five stars	App was working well unti recent update now i can t see the pictures of any item on the app whicj now makes it of no use to me
263	Rated 2 stars out of five stars	since the update this app has been falling apart i cannot check my statements or make a payment it's very irritating.
269	Rated 2 stars out of five stars	The app is not displaying correctly. I've uninstalled and reinstalled to no affect. items don't display - just a gray Macy's star.
276	Rated 2 stars out of five stars	I love shopping at macys. But, their app sucks. The main complaint I have is I can not filter by any category...which is strange for a big store site
287	Rated 2 stars out of five stars	Slow, freezes constantly, basically non-existent search function.
288	Rated 1 stars out of five stars	constantly crashing! I am unable to complete an order. I downloaded this app a while ago and it seems like there are constantly problems with it.
292	Rated 1 stars out of five stars	App does not let me login. I went to site to pay bill but login isn't working there as well.
296	Rated 2 stars out of five stars	its slow and crashes most of the time; im guessing because they have so much inventory.
301	Rated 1 stars out of five stars	App keeps crashing when I try to buy things. Cannot check the Macy's credit card either.
302	Rated 1 stars out of five stars	I love the Bible😍❤app😍❤, especially the verse of the day and their bible plans!!!
313	Rated 1 stars out of five stars	amazon offers 1 day delivery. my order is taking 7 days from you guys. this is terrible service no wonder Amazon is killing the retail market.
315	Rated 2 stars out of five stars	Everytime I try and place an order I get we're experiencing technical difficulties message. 😐
320	Rated 1 stars out of five stars	will not work. have installed and uninstalled several times!!!
322	Rated 1 stars out of five stars	shows no images, unistalled and forced stopped but to NO avail. Macys needs to fix issue asap!!!
327	Rated 1 stars out of five stars	app keeps crashing for nearly 2 weeks now. after various re installs
333	Rated 2 stars out of five stars	doesnt find correct location, doesnt load all products. website isnt much better but this is horrible
336	Rated 1 stars out of five stars	I can't add my credit card to my macy's app. I can't keep track of how much I have left on my Macy's card and my minimum montly payment. I don't know when is my due date for my Macy's credit card monthly payment. Macy's need to revamp this whole app. Sincerely,
339	Rated 1 stars out of five stars	the app is not good, always off when you're checking Macy card. smh
349	Rated 2 stars out of five stars	Too many alerts. Uninstalling I'll use website when i need something.
350	Rated 1 stars out of five stars	I prefer using the website vs the mobile app because I can't empty my shopping cart because of a erro message..
360	Rated 1 stars out of five stars	trying to make a payment and the app wont work. horrible!!!
362	Rated 1 stars out of five stars	App does not let me do store mode and pay. Doesn't let me remove stuff from my basket, so cannot do online order too.
370	Rated 1 stars out of five stars	bunch of liars. Installed it and didnt approve any codes for installation. Who needs macys anyway 👋
410	Rated 2 stars out of five stars	just use the website. app IS NOT UP TO MACY'S STANDARDS NOR MY OWN. 2☆ cuz I adore Macy's as a whole
428	Rated 1 stars out of five stars	forcing to update for better features? really?
438	Rated 1 stars out of five stars	25% if u downloaded their app but nothing.No discount at all beware...
439	Rated 1 stars out of five stars	Never work correctly! Always telling me to update and then not updating!
445	Rated 1 stars out of five stars	unable to log in for 2 days. when I was in I was unable to empty my cart
452	Rated 1 stars out of five stars	25% off first app order?! NOT!
457	Rated 1 stars out of five stars	Congrats on updating your app! It.is now COMPLETELY USELESS for scanning items in store.
461	Rated 1 stars out of five stars	Lured me with the promise of a first purchase coupon - but none applied - uninstalling
462	Rated 1 stars out of five stars	when i try to check out the app states that i have to call.
467	Rated 1 stars out of five stars	New update horrible, there is no pictures of the items.
491	Rated 1 stars out of five stars	you cannot cancel an order after it was placed or modify it.
504	Rated 1 stars out of five stars	bad user experience.. to many technical glitches
532	Rated 2 stars out of five stars	From 5 stars to 2 Stars. I have been using this app for years, never had a problem. I love this app. But since the most recent update I can no longer see the item in the thumbnail when I click on it. I cannot cycle through color options or get a true visual on how the item looks.
